Область;Максимальний бал в 2019;Максимальний бал в 2020
Вінницька область;197.0;200.0
Волинська область;198.0;200.0
Дніпропетровська область;200.0;200.0
Донецька область;192.0;200.0
Житомирська область;194.0;199.0
Закарпатська область;195.0;196.0
Запорізька область;195.0;199.0
Івано-Франківська область;199.0;200.0
Київська область;198.0;200.0
Кіровоградська область;194.0;200.0
Луганська область;197.0;200.0
Львівська область;200.0;200.0
м.Київ;200.0;200.0
Миколаївська область;198.0;200.0
Одеська область;199.0;198.0
Полтавська область;195.0;198.0
Рівненська область;195.0;199.0
Сумська область;199.0;200.0
Тернопільська область;199.0;200.0
Харківська область;199.0;200.0
Херсонська область;195.0;200.0
Хмельницька область;195.0;200.0
Черкаська область;197.0;200.0
Чернівецька область;195.0;200.0
Чернігівська область;199.0;200.0
